puzzle_id,fen,key_moves,mate_in,rating,solution
rGHnO,6k1/R5pp/8/3p1p2/1r1P4/4B3/5PPP/6K1 b - - 1 25,b4b1,2,577,b4b1 e3c1 b1c1
De5jR,4R3/p4kp1/8/2q3r1/4Q1Pp/8/P4P1K/8 w - - 6 45,e4e6,1,1185,e4e6
ZGcOu,6k1/6pp/p7/1p1b1Q2/2p4P/2q5/P7/R3R1K1 b - - 0 32,c3g3,2,1162,c3g3 g1f1 g3g2
V2oLr,3Q4/pp3pkp/8/4rp2/2P3q1/1P1P4/P5PP/4RK2 b - - 1 29,g4f4,2,1261,g4f4 f1g1 e5e1
aY5Yv,1b3rk1/p4pp1/1p1q3p/8/P1P5/1P3Q1P/1B4P1/5R1K b - - 2 33,d6h2,1,655,d6h2
cGDzP,6k1/1b3pp1/7p/8/3Q4/P4P2/q6B/2R4K b - - 0 36,b7f3,2,971,b7f3 h1g1 a2g2
XUE2Y,7k/6p1/3r3p/5Q2/5p2/1p5P/1B3PPK/3q4 w - - 2 40,f5f8,2,1015,f5f8 h8h7 f8g7
X0q1r,6k1/3R1pp1/p6p/np2r3/2p5/4PP1P/PPB5/6K1 w - - 0 29,d7d8,2,622,d7d8 e5e8 d8e8
InTiM,4r3/p7/1p4pk/5p1p/6n1/1B1P2R1/PPP3PP/6K1 b - - 1 29,e8e1,1,551,e8e1
TiAYr,6k1/ppp2ppp/8/3Pr3/5p2/5q2/PP1KRP2/2R1Q3 b - - 0 24,e5d5,2,1575,e5d5 d2c2 f3d3
EdO5x,4rrk1/1pp1q1p1/p7/3p2Q1/3P2R1/2P5/PP4PP/R5K1 b - - 0 22,e7e1,2,837,e7e1 a1e1 e8e1
FfTvl,5k1r/3p1pp1/p3p3/Q7/1n2P3/3n2P1/2r2PK1/8 w - - 4 31,a5d8,1,478,a5d8
JhoOv,2R3rk/p2Q3p/5p2/4pPq1/8/P7/1P4PP/6NK b - - 0 45,g5g2,1,686,g5g2
mQWEV,3r2k1/p3Rppp/8/1p5P/2pq2P1/5Q2/PPP2P2/2K5 b - - 2 24,d4d2,3,1418,d4d2 c1b1 d2d1 f3d1 d8d1
BYVP8,8/5p2/4N3/3p1q1k/1P1P1P1p/4Q1p1/6P1/6K1 b - - 0 42,f5b1,2,716,f5b1 e3c1 b1c1
QkzDG,3R1rk1/ppp3pp/8/4P1q1/2P5/PPKQP2r/8/R7 w - - 1 30,d3d5,2,1574,d3d5 g8h8 d8f8
ILMhT,8/p6k/8/2p5/6P1/4n3/PPR5/2KNr3 b - - 0 34,e1d1,1,985,e1d1
hbcMx,6k1/1q3p1p/3Q1PpB/2p1p1P1/3rP3/8/6PK/8 w - - 1 42,d6f8,1,1022,d6f8
Dl313,2k5/1ppr1pp1/q4n1p/8/1Q6/7P/P4PP1/3R2K1 w - - 5 25,b4f8,3,903,b4f8 f6e8 f8e8 d7d8 e8d8
qFLoL,8/2r2pkp/5R2/2rp2P1/7P/1B1n4/PP6/1K3R2 b - - 4 35,c5c1,2,888,c5c1 f1c1 c7c1
vWRio,3r2k1/RN3pb1/2b3pp/8/8/2P3P1/PP3P1P/3R2K1 b - - 0 26,d8d1,1,445,d8d1
53csJ,1R2bk2/4pp1p/2rp2p1/p5B1/2Pp4/5P2/P5PP/6K1 w - - 2 31,g5h6,2,1169,g5h6 f8g8 b8e8
3Y2Jq,3kr3/p4Q2/4B2p/8/5P2/6PK/Pq5P/8 w - - 4 42,f7d7,1,908,f7d7
eU5EP,7r/1p1Q1pp1/pkp5/3p4/q5B1/2P2PP1/PP6/K2R4 b - - 0 29,a4d1,1,713,a4d1
S4dPY,6k1/p2Q4/5p2/4pN2/5n2/7P/P4qPK/8 b - - 5 39,f2g2,1,786,f2g2
P41RX,5rk1/1q3p1p/5Bp1/p1p1PP1Q/P1p5/6R1/6PP/b6K w - - 2 31,h5h7,3,1869,h5h7 g8h7 g3h3 h7g8 h3h8
LXdBg,5r1k/p6r/1b3NQ1/3P4/2P2q2/6P1/P5KP/8 w - - 0 41,g6h7,1,1067,g6h7
nLVYO,rn4k1/ppp2ppp/8/3p4/8/P1Pb4/1PP2PqP/R2KQ3 w - - 0 17,e1e8,1,1045,e1e8
YK4em,8/1R3R1p/5bpk/5p2/7P/6Pn/3r4/3B1K2 b - - 3 46,d2f2,2,1522,d2f2 f1e1 f6c3
LQeG0,6rk/2pq3r/p4pR1/1pP1pN2/4P2P/8/PP3P2/1K4R1 w - - 0 30,g6g8,1,725,g6g8
MZHOE,2k1r3/R1P2R2/1p6/6p1/4rb1p/6nP/P5P1/6K1 w - - 1 33,a7a8,2,1551,a7a8 c8b7 c7c8q
J0LV6,r2r3k/5p1p/p1p5/7Q/5P2/7n/P5PP/1R4RK b - - 0 29,h3f2,1,953,h3f2
gHk8S,8/8/p1pQ4/8/1P3ppk/4q3/8/7K w - - 4 98,d6h6,3,869,d6h6 h4g3 h6h2 g3f3 h2g2
5FKvP,8/5pr1/2p5/4p3/1PP2k2/P6K/6P1/4R3 b - - 0 41,g7h7,1,1462,g7h7
TU0ST,7r/3rk3/PR6/5p1p/2P3Q1/4n1PK/8/R7 b - - 0 35,h5g4,1,1363,h5g4
jCr5F,8/4bpk1/4pp1p/8/7P/2Nn1q2/1PQ2P1P/3R2K1 b - - 0 26,d3f4,3,2044,d3f4 c2e4 f4h3 g1f1 f3f2
LrT75,8/p5kp/1pp3p1/3p4/P2Pb2q/2P4B/3Q2P1/6RK b - - 0 33,h4h3,1,1324,h4h3
1QEzA,2q3k1/p4pp1/1pp4p/4Q1n1/2P1P2P/1P4P1/PN3PK1/8 b - - 0 26,c8h3,2,1141,c8h3 g2g1 g5f3
Uw72X,r4rk1/p3pp1p/3p2pP/2p3q1/2P5/1PQ3P1/P4P2/R4RK1 w - - 1 20,c3g7,1,691,c3g7
dcpNb,2Q5/1p5k/p5pp/8/1P2q3/P1R1b3/7P/5K2 b - - 1 36,e4f3,3,1645,e4f3 f1e1 f3f2 e1d1 f2d2
OBhS2,5r1k/pQ3P1p/6p1/3p2q1/8/7P/1n4P1/7K w - - 0 33,b7b2,3,972,b7b2 d5d4 b2d4 g5e5 d4e5
IWM7A,6k1/2R2ppp/4pn2/r7/3P4/8/1r4PP/5RK1 w - - 2 28,c7c8,2,538,c7c8 f6e8 c8e8
QX01a,4R3/8/8/8/P7/6pk/5rr1/4R2K b - - 5 63,g2h2,3,1242,g2h2 h1g1 f2g2 g1f1 h2h1
oETM6,1k4r1/1pp3qp/1p1p1r2/3P4/P7/2PQ3P/1P3P2/R4R1K b - - 7 30,g7g2,1,989,g7g2
bmKHp,8/2R2pk1/2Pq2p1/p7/P1Q1p1P1/4P3/3r3P/5RK1 b - - 0 41,d6h2,1,957,d6h2
nrtTk,r7/P1p2pp1/p1k3qp/2P1p3/1p4r1/4B3/4QPP1/3R2K1 w - - 0 27,e2a6,1,997,e2a6
x6bLC,7k/pp6/3p2pp/3Nb3/2P1P3/7P/P5P1/2q2Q1K b - - 0 34,c1f1,1,569,c1f1
MYA8i,8/5p2/8/R6p/5pkP/6P1/1r3PK1/8 w - - 0 39,a5g5,1,1346,a5g5
41SZN,4r3/5k2/3R4/2p4K/P4r2/1P5P/8/1R6 b - - 0 41,e8e5,2,1548,e8e5 h5h6 f4h4
FNKnz,8/5pk1/1Q1bp2p/1P4p1/5q2/5N1P/5PP1/6K1 b - - 0 32,f4c1,2,930,f4c1 f3e1 c1e1
ks8QV,5r1k/1Q5p/p5pb/1p1pP3/8/P1N5/1P4PP/5rBK b - - 0 27,f1g1,3,1542,f1g1 h1g1 h6e3 g1h1 f8f1
4kKB6,1k6/pp6/2p2Q1p/3p2p1/PP1P4/2P3P1/5RKP/3qr3 b - - 0 36,e1g1,2,1196,e1g1 g2h3 d1h5
a7iUg,8/3P4/2R3p1/8/8/6k1/3r4/6K1 b - - 1 46,d2d1,1,804,d2d1
YHeyq,5rk1/2R4p/p5pQ/5p2/1p1qpPn1/8/6PP/2R4K w - - 2 36,h6h7,1,1217,h6h7
gA19R,6k1/r4ppp/5n2/n7/P7/P2N2P1/4PP1P/2R2K2 w - - 0 29,c1c8,2,611,c1c8 f6e8 c8e8
Fj1mL,5Br1/1R1R2p1/4p1kp/1p2P3/p1b2rP1/P7/6KP/8 w - - 0 44,d7g7,2,958,d7g7 g8g7 b7g7
t8PfM,Q3R3/8/5k1K/8/6p1/r7/8/8 b - - 0 50,a3h3,1,1154,a3h3
WpSOH,8/2R5/4p2B/2N1P2p/3p4/3B1kpb/rP6/6K1 b - - 5 36,a2a1,3,956,a2a1 d3b1 a1b1 h6c1 b1c1
WmaW2,8/5R1p/r5p1/p3p3/PpkpP3/8/2P3PP/6K1 w - - 4 33,f7c7,2,488,f7c7 a6c6 c7c6
aY5g0,6k1/1r3p1p/5p1B/1pp5/3p4/7P/1qP2PP1/4R1K1 w - - 0 29,e1e8,1,492,e1e8
1G9JF,6rk/R7/5R2/7p/1P6/8/7r/1K6 b - - 0 44,g8g1,2,1394,g8g1 f6f1 g1f1
4gbBQ,6k1/ppp3pp/4p3/4N3/4R3/8/PPPr2PP/7K b - - 0 21,d2d1,2,749,d2d1 e4e1 d1e1
LHJAJ,6k1/ppQ4p/6p1/5p2/4p3/8/PP1p1qPP/3R3K b - - 0 31,f2e1,2,1181,f2e1 d1e1 d2e1q
LmiGT,1Q6/5pk1/3P2p1/4b3/R3Pq1p/7P/5PP1/6K1 b - - 2 40,f4c1,1,1381,f4c1
xvwln,6k1/1pp1Qp1p/1n4p1/K3P3/1Pb5/8/P1q4P/3R4 w - - 0 35,d1d8,2,1876,d1d8 g8g7 e7f8
mZ1EQ,5r1k/1q5p/p1p3pB/4b3/3pP1b1/1P6/P1P3PP/5RK1 w - - 0 28,f1f8,1,741,f1f8
0aek7,5r2/b5p1/3R4/kp4r1/5n1p/2P2B2/PP4PP/7K w - - 0 36,b2b4,2,1266,b2b4 a5a4 d6a6
30PhR,5rk1/6p1/2p1r3/pp2Qp2/5P2/P3P1P1/qB3K2/2R5 w - - 3 31,e5g7,1,1095,e5g7
gtrxX,8/6p1/7p/8/P1P3P1/1P2RPk1/1r4P1/6K1 b - - 0 41,b2b1,2,1586,b2b1 e3e1 b1e1
EerhL,8/p7/1ppkpP1b/8/3P2p1/P1B1P1Pp/1P2b2P/4R1K1 b - - 6 30,h6e3,2,1319,h6e3 g1h1 e2f3
czer7,5k2/4ppbp/R5p1/1r6/3P4/4P1P1/5K1P/3b4 w - - 0 30,a6a8,2,684,a6a8 b5b8 a8b8
pxZSX,6R1/1p6/p1p1r2p/7k/3p4/1P4P1/1P4PK/8 w - - 2 38,g3g4,2,1008,g3g4 h5h4 g2g3
GojQf,4R3/p1R4p/6pk/2b1Nb2/2P5/6P1/PP5P/7K b - - 4 32,f5e4,2,568,f5e4 e5f3 e4f3
SNNRW,8/1kp2p2/1pp4r/5q2/1P2Q3/3n1PP1/P2R2Kp/7R b - - 4 37,f5h3,1,1171,f5h3
Qfe7I,2Rn2k1/p4ppp/5q2/2P1p3/Q1p5/2P5/P2r1PPP/6K1 w - - 2 21,a4e8,1,1020,a4e8
jWQ6X,8/6pk/5p1p/8/3P4/R2rP3/4qPPP/1Q4K1 b - - 5 29,e2d1,2,973,e2d1 b1d1 d3d1
jhTWV,2r5/7p/2r1pkp1/p1P2p2/PpRK1P2/1P2B3/1P3P1b/2R5 b - - 0 27,c8d8,1,1121,c8d8
oti0u,4r1k1/1pp2pbp/3p2p1/Q7/1PP5/5bB1/5PPP/4R1K1 b - - 0 29,e8e1,1,601,e8e1
fpcs0,3r2k1/2Q5/p3p3/1p2n1q1/4B3/6Pp/PP5P/5R1K w - - 6 32,c7h7,1,1166,c7h7
82JNh,3r2k1/8/3B3p/P2bP3/6P1/2p4q/6P1/R1Q3K1 b - - 3 42,h3g2,1,910,h3g2
vbaRY,1r2r3/kp1q4/4pp2/p1Pp4/P2P4/1Q6/1P2BP2/R3K3 w Q - 1 29,b3b6,2,1193,b3b6 a7a8 b6a5
H6sn7,5rk1/6p1/p7/1ppPQ1p1/8/P1P2r1P/1P3qPK/1R2R3 b - - 0 27,f3h3,2,1617,f3h3 h2h3 f2h4
WsHjf,6k1/6pp/2R2p2/r3b3/1RP5/3P3P/6P1/7K b - - 0 32,a5a1,2,429,a5a1 b4b1 a1b1
aPqzm,rq4rk/6pp/p4p1N/8/3P1P2/P3P2P/7P/R4RK1 w - - 0 31,h6f7,1,866,h6f7
I7Nth,5r1k/3QR1p1/7p/2Pp1q2/4p3/4P3/Pr3PPP/5RK1 b - - 2 29,f5f2,3,1432,f5f2 f1f2 b2b1 f2f1 b1f1
rHqdd,4r1k1/2q1rp1p/1p4p1/3Q4/8/P2R3P/1P3PP1/3R2K1 b - - 2 29,e7e1,2,884,e7e1 d1e1 e8e1
6plMC,6k1/pb2R1p1/1p5p/8/2P5/BP6/P2r1RPP/7K b - - 0 34,d2d1,3,668,d2d1 e7e1 d1e1 f2f1 e1f1
b3AvU,k6r/1p3q2/pP6/P7/2P5/1K1R4/3R4/8 w - - 3 53,d3d8,2,469,d3d8 h8d8 d2d8
PgHwV,k5r1/pp5p/3Q2p1/1q3p2/4p3/6P1/5P1P/3R2K1 w - - 2 32,d6d8,2,484,d6d8 g8d8 d1d8
lpDZl,5rk1/p4pp1/8/5Np1/1p6/2r3P1/5PK1/5R2 w - - 0 30,f5e7,2,925,f5e7 g8h7 f1h1
ErgQ5,1k5r/1pp3p1/8/1p2p1B1/3PP1q1/2P1Q1p1/PP4P1/5RK1 b - - 0 28,h8h1,4,1620,h8h1 g1h1 g4h5 g5h4 h5h4 h1g1 h4h2
YOlRS,6k1/ppp2ppp/8/4r3/8/P1P5/5PPP/3R2K1 w - - 0 27,d1d8,2,579,d1d8 e5e8 d8e8
njFgo,k2B3r/p3R2p/2p3p1/8/3q4/1P1p3Q/P4PPP/R5K1 b - - 0 24,d4a1,2,980,d4a1 e7e1 a1e1
rTmgJ,5r1k/p1p3p1/2Q4p/8/4Rq2/5P1r/PP5P/5RK1 b - - 1 29,f4h2,1,1322,f4h2
NNxk6,8/5p2/p2b1n2/2pPkp2/P1P3p1/3BP1P1/6K1/4B3 w - - 1 39,e1c3,1,818,e1c3
0Qzxp,6k1/6pp/1p6/p1r5/KP2p3/P2b2PP/8/3R3R b - - 0 34,d3c2,1,1558,d3c2
HcDlU,8/4k3/3nBp1p/p2RpP2/K1p1P3/2P2P2/5r1P/8 b - - 1 33,f2a2,1,655,f2a2
QEJVs,8/5ppk/1Qp1b2p/2P5/KRq3P1/7P/8/8 b - - 18 55,c4a2,1,961,c4a2
gy11S,8/8/8/R7/2B1R2P/P1k3P1/1r5r/5K2 b - - 0 46,h2h1,1,1733,h2h1
Xd6LB,2Q5/3p4/4p3/8/3p1P2/7k/r6p/7K b - - 0 51,a2a1,2,534,a2a1 c8c1 a1c1
UvLxT,2k1r3/ppp2Q2/6p1/2p1q3/7p/2P4P/PP4P1/3R2K1 w - - 0 25,f7d7,3,1112,f7d7 c8b8 d7d8 e8d8 d1d8
4RCte,2q1k3/1p3p2/p3pB2/7p/1QP4P/1P4r1/P2r2P1/6K1 w - - 0 34,b4e7,1,823,b4e7
7mkDi,Q1n3k1/5p1p/2Bpp1pq/2p5/4P3/3P1N2/2P2PPP/6K1 b - - 1 24,h6c1,2,983,h6c1 f3e1 c1e1
6YV2z,7k/6rp/p2p1Q2/1r6/8/5P2/PP6/R5RK b - - 5 33,b5h5,2,805,b5h5 f6h4 h5h4
t610D,4kr2/3p2p1/3Rp2p/2q1N3/pp2Q3/8/PP3PPP/R5K1 b - - 0 25,c5f2,3,1055,c5f2 g1h1 f2f1 a1f1 f8f1
wxCVV,6k1/2K1n1pp/4P1b1/p2R4/8/P2p4/1r3P2/8 w - - 3 38,d5d8,2,1242,d5d8 g6e8 d8e8
qcXq2,5rk1/p1p1qp1p/5R1P/3p4/1PpP4/2P5/1P3Q1K/6r1 w - - 0 35,f2g1,2,890,f2g1 g8h8 g1g7
l3hC9,6k1/2p2ppp/4p3/1q2P3/1p1rQ3/2n4P/5PP1/5RK1 w - - 0 28,e4a8,3,1316,e4a8 d4d8 a8d8 b5e8 d8e8
3zjDf,2r3k1/p2bRp1p/1p1P2p1/8/8/6Q1/P4PPP/6K1 b - - 2 25,c8c1,2,471,c8c1 e7e1 c1e1
KfxEl,rn5k/pp3b1p/4q1pR/6P1/4p3/8/PPP2P2/1K5R w - - 0 30,h6h7,3,718,h6h7 h8g8 h7h8 g8g7 h1h7
xsGDw,8/5p2/8/8/p1r5/4K3/1kr5/R2R4 w - - 8 58,d1b1,2,1670,d1b1 b2c3 a1a3
0DHPp,4R3/kpp5/p1q5/P1N5/1PPp2p1/6Pp/5P1P/4R1K1 b - - 0 37,c6g2,1,857,c6g2
wEzgt,R7/P7/3b1pk1/2Np2pp/3P2P1/4PK2/r6P/8 b - - 1 36,h5g4,3,1919,h5g4 f3g4 f6f5 g4f3 g5g4
04aX2,4r1k1/6pp/p7/3p1p2/3Q1P2/1P3KPr/P1P3Rq/3R4 b - - 8 35,h3g3,2,1686,h3g3 g2g3 h2e2
adg7h,8/p4p1k/6p1/P2p4/2p3N1/2PnQPqP/1r4P1/R5K1 w - - 3 31,e3h6,2,1049,e3h6 h7g8 g4f6
dSUBx,1b2r2k/1p3Qpp/p2q4/3B4/1PP5/P6P/8/5R1K b - - 7 47,d6h2,1,894,d6h2
nJnUh,6k1/5ppb/p6p/Pp2p2P/2p3P1/2P1bPK1/1q6/3RR3 w - - 0 38,d1d8,1,653,d1d8
ntEti,2kn4/1pp5/p2p4/4p2q/4P1p1/2PPP1p1/PP2Q1P1/R3R1K1 b - - 2 24,h5h2,2,935,h5h2 g1f1 h2h1
FErFh,7k/5rpp/p7/8/1p6/1Pb3B1/5P1P/3R2K1 w - - 0 35,d1d8,2,435,d1d8 f7f8 d8f8
xWu8c,7k/6p1/p6p/1q1b4/8/P1R1Q3/6PP/5R1K b - - 0 37,b5f1,2,1029,b5f1 e3g1 d5g2
SwK9g,8/Q5pk/P4b1p/3np3/8/3r4/KP6/R7 b - - 2 49,d5b4,2,977,d5b4 a2b1 d3d1
IERx9,3rk3/4n1pp/8/P1Q3B1/8/6P1/1PP2r1P/2K5 b - - 2 35,f2f1,1,978,f2f1
TQ0XH,6k1/p4p2/6Bp/4q3/8/1P4P1/2R2b1P/5R1K b - - 0 30,e5d5,2,1251,e5d5 g6e4 d5e4
s7EU7,R7/6pk/2r3p1/8/5R2/1p1K1P2/7P/1r6 w - - 2 40,f4h4,1,749,f4h4
SRJs8,5rkq/5R2/1Q4p1/1Pp3Kp/2r4P/4R1P1/5P2/8 b - - 2 42,c4g4,1,1335,c4g4
pxA0Q,7k/6p1/p1p2r1p/1p1p2q1/5p2/1P1Q1b2/P1P2PPP/4R1K1 w - - 0 34,e1e8,2,1079,e1e8 f6f8 e8f8
5X54K,1rR2Bk1/5p2/1q1p2pQ/3p3p/p2b4/P4PP1/1P4KP/8 w - - 4 39,f8g7,2,1663,f8g7 b8c8 h6h8
TV3yX,8/2r3p1/3k2p1/1R1p4/p2Kp1P1/2P2r1P/P4P2/2R5 b - - 5 35,c7c4 f3d3,1,1135,f3d3
NbxpN,5k2/ppR1ppbp/6p1/8/4P3/5BP1/P2r1P1P/6K1 w - - 2 20,c7c8,2,540,c7c8 d2d8 c8d8
qqBjr,7r/4N3/4R3/1R1pP1pk/8/6P1/6PK/r7 b - - 0 36,h5g4,2,978,h5g4 e6h6 h8h6
ZTrIl,5rk1/p1Q2pp1/1p2p1p1/4N3/3p3r/P7/2P1RPP1/R4K2 b - - 0 26,h4h1,1,708,h4h1
aEsmF,5rk1/2R3p1/5q1p/3Pp3/3nQ1N1/6P1/6KP/8 b - - 3 40,f6f1,1,1170,f6f1
34CQn,8/1p1q1r1k/p3p1p1/2p5/4R2b/1P6/PBP2PK1/8 w - - 0 34,e4h4,2,747,e4h4 h7g8 h4h8
IgXA7,4k3/7p/bB1Q4/2p1p3/2Pp2B1/P2q2N1/6PP/7K b - - 0 31,d3b1,3,1286,d3b1 g4d1 b1d1 g3f1 d1f1
x9747,4R3/6p1/5p1k/5P2/2r3P1/5K2/8/8 w - - 2 44,e8h8,2,653,e8h8 h6g5 h8h5
YCzs4,6r1/pp6/1kp1N2p/5Q2/8/4P2P/q5P1/6K1 w - - 3 31,f5c5,2,954,f5c5 b6a6 e6c7
ALYhg,8/4p3/3p4/3P1k2/1R4R1/5PK1/1p1r4/2r5 w - - 8 51,b4f4,2,1264,b4f4 f5e5 g4g5
Do4bH,2k5/2p2R2/ppK2Br1/8/2P1P3/1P5P/8/4r3 w - - 4 39,f7f8,1,824,f7f8
GI8EX,1r3k2/4pp2/8/7Q/3p4/1r6/1pp3PK/1R6 w - - 0 48,h5h8,1,727,h5h8
tExxn,8/6R1/8/3R1p2/r6P/6Pk/5P2/6K1 b - - 7 40,a4a1,2,919,a4a1 d5d1 a1d1
QI8dG,5k2/pR3pp1/7p/5N2/4n1P1/1P5P/r2r1PK1/5R2 w - - 7 33,b7b8,2,953,b7b8 d2d8 b8d8
BNGIB,r2q1r2/6pk/p1p1p2p/1p1pP2Q/3P4/6R1/PP3PPP/4R1K1 w - - 0 24,h5g6,2,1069,h5g6 h7h8 g6g7
o1HE1,8/7p/p5pk/4q3/6B1/P4Q1P/1P4P1/5n1K b - - 2 40,e5h2,1,929,e5h2
V3uiG,6k1/ppR1R2p/6p1/5n2/8/8/P5bK/5r2 w - - 4 29,e7e8 c7c8,1,560,e7e8
Y1DbD,r1n4k/4Rrpp/p7/1p1p1p2/3P2P1/4Pq1P/PP3P2/5RK1 w - - 0 25,e7e8,2,834,e7e8 f7f8 e8f8
E8m6n,1r6/5k1p/4p1p1/PRKpP3/r4P2/6P1/7P/1R6 b - - 2 46,a4c4,2,1335,a4c4 c5d6 b8d8
ElIzQ,3Q1rk1/p6p/4q1p1/2Bp1b1N/8/1P4P1/P1P4P/6K1 w - - 13 34,d8f8,1,1170,d8f8
SnQxI,r6k/2p3pp/p1qp4/1p2p3/4P1P1/2P2Q2/PP4P1/5RK1 w - - 0 26,f3f8,2,486,f3f8 a8f8 f1f8
1y63E,8/pp3p2/2np4/3N4/3Pk3/1PP3r1/P2K1R2/8 w - - 3 32,d5f6,1,1859,d5f6
Gor8U,8/1p5p/8/8/8/P1NR1pk1/7r/5K2 b - - 3 51,h2h1,1,1175,h2h1
INjbP,6k1/1R4P1/5K2/5p2/8/2p3r1/8/8 w - - 0 47,b7b8,2,1396,b7b8 g8h7 b8h8
cu6KK,k2r1r2/pbQ2pp1/N3p2p/4P3/4pP2/4P3/5KPP/8 w - - 7 29,c7b8,2,1395,c7b8 d8b8 a6c7
7tPBk,6k1/p6p/p2p2p1/3Pp3/1Pq1P3/P1N3Pb/3Q3P/6K1 b - - 0 33,c4f1,1,799,c4f1
wvXKz,r1b4r/4kpp1/4p1p1/Np2P3/1P6/P4N2/5PPP/3R2K1 w - - 0 26,a5c6,2,828,a5c6 e7f8 d1d8
mqGXO,r5k1/p5pp/1pq1p3/8/8/P5P1/1PP1RrPP/1R1Q3K b - - 2 24,c6g2,1,835,c6g2
N6GI0,7R/1p2Bpk1/6p1/8/8/1r6/5RK1/r7 w - - 7 52,e7f6,1,1151,e7f6
FqxPw,5r2/ppp3k1/4pNp1/4P1q1/8/2P5/PP6/K6R w - - 0 39,h1h7,1,794,h1h7
DLfTV,2r4r/kp6/p4p2/P1N2npp/N2p4/4p3/1R2K1PP/8 w - - 0 42,b2b7,2,791,b2b7 a7a8 a4b6
l0VLk,8/4k2p/1p2b1p1/3B4/Pr6/8/2P1RPPP/6K1 b - - 1 34,b4b1,2,812,b4b1 e2e1 b1e1
px6mv,6k1/q4pp1/6p1/3p2P1/3Q4/8/r4PP1/2R3K1 w - - 2 35,c1c8,2,1381,c1c8 g8h7 d4h4
Oy90U,1Q2Q3/8/8/6k1/5q2/7K/6P1/8 b - - 0 65,f4h4,1,1132,f4h4
x2e0U,r5k1/6pp/2Q2p2/2P1p2q/8/5P1P/5P2/6RK b - - 2 35,h5h3,1,1190,h5h3
actXZ,2r3k1/6pp/5p2/5Q2/1P1P4/8/6PP/1N5K b - - 0 41,c8c1,2,462,c8c1 f5f1 c1f1
MHsSk,1k6/ppp1r2p/8/8/8/P7/1PP5/1K1R4 w - - 0 30,d1d8,1,411,d1d8
1EgW5,r5k1/1p3p2/1Pp3pp/2Pp1N2/q3p3/2Q1P1P1/5PP1/6K1 w - - 0 33,c3g7,1,1144,c3g7
9MT2H,r3q2k/2Q4b/p6B/1p2p1p1/8/7P/PP4P1/n5K1 w - - 0 29,c7g7,1,930,c7g7
6wzJz,8/ppp5/2k5/2r1p1p1/4R1pp/1B6/P4PPB/6K1 b - - 2 35,c5c1,3,400,c5c1 b3d1 c1d1 e4e1 d1e1
nGYjg,6k1/2p5/3r2p1/1p1P1q2/6p1/PpP1Q3/1P3P2/2K4R b - - 1 33,f5c2,1,1017,f5c2
hIgbJ,6k1/1p3ppp/2p5/p4P2/2P5/PP3q2/2Qn4/3RK3 b - - 3 35,f3e3,1,1468,f3e3
CXjLU,6k1/pQ1P1pp1/4p2p/3p4/N2P1P2/q5P1/P2n1P1P/6K1 b - - 0 26,a3c1,2,1199,a3c1 g1g2 c1f1
X57gc,5rk1/1R5p/p2b4/3Pqp1Q/8/8/P5PP/2B4K b - - 0 27,e5e1,1,1367,e5e1
aY2as,8/1p2q1k1/p2p3p/2pQ4/6pP/2P3r1/PP3K2/3R1R2 b - - 1 36,e7e3,1,846,e7e3
6iMbu,8/4bpk1/4p1p1/4P3/p2PpP2/Pb2B1KP/1P1Q1N2/5q2 b - - 9 41,f1g1,1,1001,f1g1
frM1k,8/q7/7p/3p3k/6p1/6P1/6PP/5Q1K w - - 0 50,f1f5,1,870,f1f5
hzKU1,n6k/p3q1pp/3p1p2/8/1P2P3/6B1/6PP/2R4K w - - 0 38,c1c8,2,509,c1c8 e7d8 c8d8
e6zgs,8/8/8/8/R5p1/6k1/2r3P1/6K1 b - - 0 53,c2c1,1,979,c2c1
tGJgy,1r6/2kb1Qpp/p1p5/5P2/4P3/3Pn3/2P2R1P/7K b - - 2 26,b8b1,2,988,b8b1 f2f1 b1f1
XlhIM,5k2/p4pp1/2N4p/3R4/r7/2P3Pb/4PP1P/6K1 b - - 0 25,a4a1,2,530,a4a1 d5d1 a1d1
hKTXa,7k/r4npp/1p1b4/p1p5/P1Pp4/1P3BP1/5pK1/4R3 w - - 0 32,e1e8,2,1003,e1e8 d6f8 e8f8
k8N1C,4r2k/2p5/p4pp1/1p2nN1p/7Q/1PP4P/1P4PK/3r4 w - - 0 31,h4f6,2,1464,h4f6 h8g8 f6g7
8ZHc5,2k5/2P5/1P6/3K1p2/8/7p/8/8 w - - 0 59,d5c6,2,1246,d5c6 h3h2 b6b7
93t63,r6k/3R2bp/2q5/4pQ2/8/4B1P1/2P2P1P/6K1 b - - 5 31,a8a1,3,1027,a8a1 e3c1 a1c1 d7d1 c1d1
MY3bT,5rk1/1p4pp/p7/4R3/1P1p4/P6q/2P4P/1R3Q1K b - - 0 31,f8f1,2,925,f8f1 b1f1 h3f1
evStq,7R/ppp3r1/5k2/2b1pB2/2b1Pp2/2P2P2/PP1R4/4K3 b - - 0 34,g7g1,1,491,g7g1
CorEF,8/7R/1p6/3B2k1/3b2n1/P5K1/2r3P1/1R6 b - - 5 38,c2c3,3,2287,c2c3 d5f3 d4e5 g3h3 g4f2
pE1dR,2nkr3/6p1/2Q4p/3P4/8/6N1/6PP/4R2K b - - 0 41,e8e1,2,630,e8e1 g3f1 e1f1
FulEg,6k1/p5p1/1p2p2p/3p4/P3qr2/1PQ3R1/2P2P1P/5K2 w - - 0 28,c3g7,1,846,c3g7
